ChannelType,Address,EndpointStatus,OptOut,User.UserId,User.UserAttributes.PreferredChannel,User.UserAttributes.CLVTier,User.UserAttributes.MemberClass,User.UserAttributes.Stage,User.UserAttributes.FirstName,User.UserAttributes.LastName,User.UserAttributes.Age,User.UserAttributes.Job,User.UserAttributes.Marital,User.UserAttributes.Education,User.UserAttributes.DefaultScore,User.UserAttributes.Housing,User.UserAttributes.Locan,User.UserAttributes.Probability,User.UserAttributes.Income,User.UserAttributes.Product,User.UserAttributes.PreferredLanguage,User.UserAttributes.CustomerSinceYear,Attributes.LastEngagement,Metrics.ChurnPrediction,Metrics.UpsellPrediction,Metrics.OptimalSendHour,Demographic.Timezone,Demographic.Locale
EMAIL,frank43@example.org,INACTIVE,NONE,4.36E+18,SMS,Low,Gold,Retention,Cybil,Banishevitz,46,Media Manager IV,single,20,4,1,1,0.949363427,795265.61,L001,English,1998,84,0.33,0.12,7,Europe/Madrid,Telugu
SMS,2919343197,INACTIVE,NONE,5.34E+18,SMS,High,Default_memberClass,Usage,Jone,Eighteen,40,Registered Nurse,single,6,9,0,1,0.949337722,894341.84,CC003,English,1956,62,0.6,0.8,23,Asia/Harbin,Northern Sotho
EMAIL,fburton@example.org,ACTIVE,NONE,-5.59E+18,EMAIL,Medium,Gold,Usage,Cynthy,Jakaway,45,Software Engineer II,widowed,5,10,1,1,0.949336618,220792.55,CC003,English,1954,90,0.42,0.09,22,America/Lima,Tamil
EMAIL,llewis@example.com,ACTIVE,NONE,7.06E+18,SMS,High,Bronze,Upsell,Cyrillus,Soreau,34,Editor,divorced,10,7,2,0,0.949299344,544364.1,CC003,German,1931,53,0.56,0.7,6,Europe/Uzhgorod,Tswana
SMS,3634230228,INACTIVE,NONE,7.89E+18,SMS,Low,Gold,Retention,Cristian,Espasa,36,Help Desk Operator,widowed,20,5,0,0,0.94926725,814811.4,CC003,English,2009,97,0.95,0.73,14,Asia/Chongqing,Spanish
EMAIL,maxwell84@example.org,ACTIVE,NONE,-5.61E+18,SMS,Medium,Gold,Upsell,Silvester,Watman,50,Research Nurse,widowed,20,5,2,1,0.949248655,866433.39,L001,French,1980,27,0.68,0.77,1,America/Sao_Paulo,Albanian
EMAIL,natalie18@example.net,INACTIVE,NONE,-5.42E+18,SMS,Low,Gold,Usage,Ugo,Benedicte,80,Editor,married,13,3,1,0,0.94921083,591528.62,L002,English,2002,83,0.56,0.33,0,Asia/Bangkok,Māori
SMS,3034692270,INACTIVE,NONE,-7.47E+18,EMAIL,Low,Silver,Usage,Crystal,Cadman,80,Librarian,widowed,8,3,2,0,0.949163001,443305.75,L002,English,1931,34,0.33,0.45,9,Asia/Chongqing,Hiri Motu
SMS,19783467,ACTIVE,NONE,-2.26E+17,SMS,High,Gold,Retention,Reyna,Dodman,20,VP Quality Control,divorced,6,0,2,1,0.949096544,574131.98,L002,English,1929,27,0.06,0.29,6,Europe/Paris,French
EMAIL,aaronhouse@example.net,INACTIVE,NONE,1.16E+18,EMAIL,Low,Silver,Upsell,Rosemarie,Nono,37,Registered Nurse,single,7,5,0,0,0.949073651,866289.39,L002,German,2021,44,0.11,0.42,18,Asia/Shanghai,Bosnian
EMAIL,richardstyler@example.net,ACTIVE,NONE,-7.88E+18,SMS,Low,Gold,Upsell,Enoch,Ubsdell,71,Paralegal,divorced,8,4,0,1,0.94899966,313033.43,L002,English,1996,8,0.37,0.51,14,Asia/Dhaka,Somali
SMS,6578955593,ACTIVE,NONE,-5.00E+18,EMAIL,Medium,Silver,Retention,Thebault,Lax,26,Editor,divorced,8,9,0,1,0.948994503,312860.13,L001,German,1940,2,0.58,0.02,12,Europe/Warsaw,Yiddish
SMS,19085214,INACTIVE,NONE,8.15E+18,SMS,Medium,Gold,Retention,Colin,Aysh,67,Information Systems Manager,divorced,16,2,1,1,0.948976937,102509.8,L002,French,1953,45,0.08,0.71,16,Asia/Chongqing,Northern Sotho
SMS,7836466479,ACTIVE,NONE,3.36E+17,EMAIL,Low,Default_memberClass,Usage,Salem,Aslie,34,Compensation Analyst,single,16,6,2,0,0.948928535,54311.19,L001,English,1938,92,0.09,0.85,3,Asia/Shanghai,Sotho
SMS,7763183448,ACTIVE,NONE,1.07E+18,EMAIL,Low,Bronze,Upsell,Elysha,Chinge de Hals,60,General Manager,single,19,3,1,1,0.948869027,93817.65,L002,French,2009,61,0.21,0.77,9,Asia/Yekaterinburg,Tok Pisin
SMS,2765390878,INACTIVE,NONE,-5.64E+18,EMAIL,Medium,Default_memberClass,Usage,Meredith,Littledike,64,Financial Advisor,widowed,18,0,2,1,0.948835069,987830.34,L002,English,2006,60,0.93,0.62,15,Asia/Chongqing,Tswana
SMS,8192394243,INACTIVE,NONE,3.30E+18,SMS,High,Silver,Retention,Serene,Antcliffe,68,Help Desk Technician,married,18,3,2,0,0.948799702,272922.52,L001,German,1990,97,0.68,0.33,19,America/Mexico_City,Norwegian
EMAIL,jeremiah09@example.org,ACTIVE,NONE,-4.68E+18,EMAIL,Low,Default_memberClass,Upsell,Davidson,Santus,58,Marketing Manager,married,14,5,2,1,0.948719068,509880.49,CC003,German,1925,51,0.46,0.5,14,Asia/Yekaterinburg,Filipino
SMS,9428328623,INACTIVE,NONE,1.76E+18,SMS,Low,Bronze,Usage,Brittni,Sharrocks,24,Electrical Engineer,married,15,7,1,1,0.948716614,50672.42,L002,English,1923,34,0.72,0.29,12,Asia/Chongqing,Italian
EMAIL,michael71@example.net,ACTIVE,NONE,-7.05E+18,SMS,Medium,Default_memberClass,Retention,Emmye,Humes,70,Chemical Engineer,widowed,15,9,0,1,0.948659729,939391.61,CC003,English,2020,36,0.99,0.66,6,Europe/Stockholm,Hindi
SMS,16086887,INACTIVE,NONE,-5.02E+18,EMAIL,Medium,Gold,Upsell,Odelinda,Aizlewood,58,Assistant Media Planner,divorced,13,5,0,1,0.948656456,873879.37,CC003,French,1962,3,0.09,0.43,18,Europe/Athens,Sotho
EMAIL,sally48@example.org,INACTIVE,NONE,-2.33E+18,EMAIL,Medium,Gold,Retention,Hamid,Pioli,62,Assistant Media Planner,married,5,2,0,1,0.948597782,927386.98,L002,English,2005,45,0.96,0.73,11,America/Santiago,Aymara
EMAIL,robert78@example.net,ACTIVE,NONE,-5.12E+18,SMS,Low,Bronze,Usage,Barbabas,Reckhouse,49,Budget/Accounting Analyst III,divorced,8,2,1,1,0.948535815,564450.62,L001,German,1978,42,0.84,0.56,20,America/Tegucigalpa,Khmer
SMS,5562960535,ACTIVE,NONE,3.40E+18,SMS,High,Gold,Upsell,Aimee,Maxwale,73,Biostatistician I,divorced,19,6,0,0,0.948531204,127990.46,L001,English,1983,96,0.3,0.15,9,Asia/Dushanbe,Luxembourgish
EMAIL,vmills@example.com,ACTIVE,NONE,4.11E+18,SMS,High,Gold,Upsell,Jaime,Mollett,35,Budget/Accounting Analyst IV,single,18,4,0,0,0.948530431,258860.22,CC003,German,1955,48,0.08,0.25,10,Europe/Moscow,Kyrgyz
EMAIL,haynessheryl@example.net,INACTIVE,NONE,-7.40E+17,EMAIL,High,Silver,Usage,Inglebert,Milborn,76,Structural Analysis Engineer,widowed,10,9,2,0,0.948502473,848439.03,L001,English,2004,61,0.82,0.14,23,Europe/Dublin,Bislama
SMS,7268945187,INACTIVE,NONE,8.22E+18,EMAIL,High,Silver,Retention,Bunni,Coslitt,42,Web Developer III,married,6,3,2,0,0.948485285,338899.37,CC003,English,1983,19,0.33,0.88,9,Europe/Ljubljana,Greek
SMS,6406888660,ACTIVE,NONE,-2.87E+18,EMAIL,Low,Gold,Retention,Melesa,Chaudhry,28,Programmer Analyst IV,widowed,3,8,0,1,0.948451378,47667.99,CC003,English,1953,98,0.07,0.06,20,Europe/Athens,Gagauz
EMAIL,ysingh@example.net,INACTIVE,NONE,-6.77E+18,EMAIL,Low,Silver,Upsell,Brook,Alvares,38,Marketing Assistant,single,6,10,0,0,0.948435356,206445.65,L001,French,1922,82,0.08,0.94,16,Asia/Shanghai,Hindi
EMAIL,gravesjose@example.com,INACTIVE,NONE,5.44E+18,EMAIL,Low,Default_memberClass,Usage,Yolanthe,Ledwitch,22,Account Executive,single,3,7,2,0,0.948363799,820559.99,L001,English,1946,100,0.41,0.86,19,America/El_Salvador,Hebrew
SMS,14826937,ACTIVE,NONE,-4.32E+18,EMAIL,Medium,Bronze,Retention,Barnie,Maylor,50,Health Coach III,widowed,20,9,0,0,0.948303669,760128.59,L001,German,1959,73,0.81,0.92,17,Europe/Prague,Fijian
SMS,2164679800,INACTIVE,NONE,-6.66E+18,SMS,Medium,Gold,Usage,Flint,MacNeice,24,Assistant Manager,married,7,3,0,0,0.948260219,961589.36,L002,French,1958,77,0.69,1,22,America/Argentina/Cordoba,Swahili
SMS,3293022256,ACTIVE,NONE,-5.17E+18,SMS,Low,Default_memberClass,Retention,Mill,Brewins,80,Analog Circuit Design manager,widowed,19,8,2,1,0.948208014,594247.12,L001,English,1924,96,0.42,0.53,6,Europe/Berlin,English
SMS,7234920796,ACTIVE,NONE,6.27E+18,EMAIL,Low,Gold,Retention,Davita,Bisson,78,Engineer I,widowed,15,1,1,0,0.948201995,915340.27,L002,English,2021,95,0.98,0.95,23,Europe/Sarajevo,West Frisian
EMAIL,rcain@example.com,ACTIVE,NONE,-5.70E+18,SMS,Low,Silver,Retention,Eula,Gail,70,Marketing Assistant,married,12,10,2,1,0.948197121,648154.49,L001,English,2019,59,0.01,0.2,13,America/Montevideo,Irish Gaelic
SMS,5973053360,INACTIVE,NONE,-3.20E+18,EMAIL,Low,Silver,Upsell,Kissie,Joscelyne,34,Financial Analyst,widowed,8,1,1,0,0.948061186,499982.26,L002,German,1986,70,0.02,0.95,11,Asia/Shanghai,Quechua
SMS,1230237844,ACTIVE,NONE,-5.05E+18,SMS,High,Gold,Upsell,George,Bagnold,56,VP Quality Control,single,16,0,2,1,0.947883626,619346.06,L002,French,1988,73,0.77,0.58,5,Asia/Jakarta,Fijian
SMS,1420895556,INACTIVE,NONE,7.75E+18,SMS,Low,Gold,Usage,Vivianne,Leahy,25,VP Marketing,single,2,8,0,0,0.947870803,518977.63,L002,English,1925,9,0.89,0.79,13,Europe/Uzhgorod,Macedonian
EMAIL,bowenbrandon@example.com,INACTIVE,NONE,-2.02E+18,EMAIL,High,Gold,Retention,Alessandro,Purdy,47,VP Quality Control,single,7,5,1,0,0.947841258,577487.22,L001,English,1923,61,0.13,0.43,20,Europe/Helsinki,Thai
SMS,12383986,INACTIVE,NONE,-1.64E+18,SMS,High,Gold,Retention,Gwendolyn,Cristofori,29,Chemical Engineer,divorced,11,4,0,1,0.947807126,825522.13,CC003,English,1988,30,0.27,0.24,16,America/Lima,Kashmiri
SMS,5997419692,INACTIVE,NONE,-9.15E+17,SMS,High,Default_memberClass,Usage,Dianne,Meatyard,62,Office Assistant I,widowed,11,4,2,1,0.94777255,251745.87,CC003,English,1983,26,0.05,0.17,15,Asia/Jakarta,Moldovan
SMS,5843141922,INACTIVE,NONE,-7.16E+18,EMAIL,Low,Default_memberClass,Upsell,Lowell,Cheek,24,Accountant III,widowed,2,5,2,0,0.947731218,236421.58,CC003,German,1995,2,0.75,0.24,22,Asia/Yakutsk,Macedonian
SMS,19867450,ACTIVE,NONE,2.87E+17,SMS,High,Gold,Upsell,Mureil,Applin,70,Accounting Assistant III,single,18,2,0,1,0.947717154,754189.75,CC003,English,1954,34,0.81,0.65,2,Asia/Chongqing,Greek
EMAIL,corywilliams@example.com,ACTIVE,NONE,4.09E+18,EMAIL,High,Bronze,Usage,Georgeta,Tregian,56,Director of Sales,widowed,10,7,1,0,0.947658363,540455.57,CC003,English,1923,28,0.58,0.43,2,Asia/Tokyo,Filipino
SMS,8465822445,INACTIVE,NONE,7.34E+18,SMS,Medium,Default_memberClass,Retention,Jasun,Fairhead,57,Data Coordinator,widowed,3,10,2,1,0.947657439,848577.91,L002,French,1994,27,0.99,0.82,0,Asia/Novokuznetsk,Burmese
SMS,3914043448,ACTIVE,NONE,-7.14E+18,SMS,High,Silver,Upsell,Reese,Pail,37,Product Engineer,single,16,6,1,1,0.947645689,711819.92,CC003,English,1986,89,0.36,0.56,12,Africa/Khartoum,Sotho
EMAIL,patriciahuber@example.com,INACTIVE,NONE,-6.92E+18,SMS,High,Silver,Retention,Staffard,Confait,43,Software Engineer III,single,7,2,1,1,0.947574285,842208.51,L001,French,1985,95,0.1,0.76,11,Asia/Jakarta,Maltese
SMS,14389004,ACTIVE,NONE,-2.09E+18,EMAIL,Low,Bronze,Upsell,Chantal,Bixley,56,Assistant Professor,widowed,11,5,2,0,0.947493138,796563.74,L001,English,1951,50,0.28,0.1,15,Europe/Moscow,Thai
SMS,6312572535,INACTIVE,NONE,3.26E+18,SMS,High,Gold,Usage,Marianna,Blease,43,Chemical Engineer,single,11,8,2,0,0.947407295,872997.3,L002,English,1949,29,0.89,0.68,19,Europe/Warsaw,Māori
SMS,3006326542,ACTIVE,NONE,-1.05E+18,EMAIL,Medium,Bronze,Usage,Chaddy,Veldstra,33,Administrative Assistant II,single,1,10,1,0,0.947397599,746266.22,L001,German,1969,95,0.98,0.13,0,Asia/Shanghai,Filipino
SMS,7946904332,INACTIVE,NONE,8.75E+18,SMS,High,Default_memberClass,Usage,Hermy,MacAnulty,64,VP Quality Control,divorced,20,10,0,1,0.947394942,576331.75,L002,German,2009,69,0.24,0.18,15,Asia/Kuwait,Kannada
EMAIL,kimberly93@example.com,ACTIVE,NONE,6.50E+17,EMAIL,Medium,Silver,Upsell,Bernhard,Brikner,23,Research Associate,married,19,4,0,1,0.947394149,296679.67,CC003,German,1975,49,0.4,0.77,5,Asia/Tehran,Italian
SMS,7448125715,INACTIVE,NONE,-5.80E+18,SMS,High,Bronze,Upsell,Bria,Harlin,69,Programmer III,widowed,11,2,1,1,0.947370357,576130.34,L001,English,1927,66,1,0.54,12,Europe/Oslo,Japanese
EMAIL,caitlinramirez@example.net,INACTIVE,NONE,6.92E+18,SMS,Medium,Default_memberClass,Usage,Geno,McCambrois,50,Senior Cost Accountant,widowed,2,2,0,0,0.947324918,541840.21,L002,French,1963,35,0.66,0.57,7,Asia/Chongqing,Tswana
SMS,1372903571,ACTIVE,NONE,-1.98E+17,SMS,High,Gold,Retention,Shelli,Fowells,59,Media Manager IV,married,19,2,0,0,0.947290078,617765.36,L001,French,1964,90,0.9,0.76,16,America/Guatemala,Lithuanian
EMAIL,glasscharlotte@example.com,INACTIVE,NONE,1.11E+18,SMS,Low,Silver,Upsell,Kellie,Swindley,56,Nurse,married,14,1,2,0,0.947283062,962546.3,L002,French,1976,98,0.51,0.78,21,Asia/Jakarta,Kyrgyz
SMS,5735590837,INACTIVE,NONE,-8.11E+18,EMAIL,High,Bronze,Retention,Emmy,Walsh,39,Design Engineer,widowed,14,9,2,0,0.947227863,627662.91,CC003,English,1961,99,0.15,0.9,3,Asia/Almaty,Gagauz
SMS,2093516560,ACTIVE,NONE,-3.94E+18,EMAIL,Medium,Bronze,Usage,Brynn,McCritichie,59,Programmer III,widowed,16,4,2,0,0.947209099,397250.38,L001,English,1975,26,0.87,0.27,23,Asia/Chongqing,German
SMS,3589429916,INACTIVE,NONE,-3.04E+18,SMS,High,Silver,Upsell,Ignazio,Cheke,58,Human Resources Assistant I,divorced,2,1,0,0,0.947149321,392069.68,CC003,English,1982,12,0.41,0.41,20,Asia/Harbin,Luxembourgish
EMAIL,thomas59@example.com,INACTIVE,NONE,-4.76E+18,EMAIL,Medium,Bronze,Usage,Lenka,Seger,41,Recruiting Manager,widowed,16,2,0,0,0.9471425,725947.31,L001,English,2022,51,0.14,0.2,6,America/Lima,Malayalam
EMAIL,steven05pw@example.net,INACTIVE,NONE,6.52E+18,SMS,High,Silver,Retention,Cariotta,Swidenbank,74,Engineer II,widowed,16,4,2,0,0.947103678,517869.83,L002,English,1930,75,0.06,0.11,20,Asia/Jakarta,Afrikaans
EMAIL,brianhatfield@example.org,INACTIVE,NONE,1.68E+18,SMS,High,Bronze,Retention,Gerri,Abbot,67,Graphic Designer,divorced,1,0,1,1,0.947102709,131608.61,L002,German,1956,4,0.97,0.41,7,Asia/Jakarta,Yiddish
EMAIL,lauradowns@example.net,ACTIVE,NONE,-7.41E+18,EMAIL,High,Default_memberClass,Retention,Geoff,Warder,53,General Manager,single,12,2,0,0,0.947088578,251518.61,L002,French,1938,67,0.6,0.11,19,Asia/Shanghai,Italian
EMAIL,kathymurphy@example.net,INACTIVE,NONE,-9.19E+18,EMAIL,Low,Silver,Upsell,Alexis,Blowne,49,Automation Specialist III,divorced,3,0,2,1,0.947077507,883446.7,L001,English,2010,95,0.49,0.85,7,Asia/Manila,New Zealand Sign Language
EMAIL,zjames@example.com,ACTIVE,NONE,-5.17E+18,SMS,Medium,Silver,Usage,Salome,Denslow,54,Research Nurse,single,20,4,0,0,0.94700857,30607.23,CC003,English,1988,76,0.53,0.36,23,Asia/Novosibirsk,Hungarian
SMS,7024791925,INACTIVE,NONE,2.41E+18,EMAIL,Low,Default_memberClass,Upsell,Jeralee,Vlasin,22,Senior Developer,widowed,12,9,2,0,0.947001022,904673.26,CC003,French,1994,35,0.59,0.89,20,Pacific/Majuro,Amharic
EMAIL,christopherhill@example.org,ACTIVE,NONE,-5.38E+18,SMS,Medium,Bronze,Upsell,Tuesday,Terrett,30,Executive Secretary,widowed,9,0,1,0,0.946999441,278257.03,CC003,English,1963,74,0.04,0.08,12,Asia/Shanghai,Somali
EMAIL,anna89@example.com,INACTIVE,NONE,4.62E+18,SMS,High,Bronze,Usage,Denny,Goreisr,55,Civil Engineer,married,19,8,2,0,0.946972624,643761.49,L001,English,1966,66,0.66,0.53,8,Asia/Makassar,Tok Pisin
EMAIL,james11@example.net,INACTIVE,NONE,-6.49E+18,EMAIL,High,Bronze,Usage,Marnie,Chaplin,75,Internal Auditor,married,15,4,2,0,0.946868727,389546.61,L002,English,1921,3,0.29,0.29,14,Asia/Ho_Chi_Minh,Japanese
SMS,4505545254,INACTIVE,NONE,1.98E+17,SMS,High,Gold,Retention,Ramona,Stanluck,64,Registered Nurse,widowed,10,6,1,0,0.946780487,733672.53,CC003,English,1921,83,0.48,0,16,Africa/Casablanca,Dari
EMAIL,ngray@example.net,ACTIVE,NONE,5.68E+18,SMS,High,Gold,Upsell,Griselda,Fleisch,46,Systems Administrator I,divorced,20,7,2,0,0.946757965,359044.75,L002,English,1966,90,0.02,0.6,17,Asia/Shanghai,Burmese
SMS,5716228962,ACTIVE,NONE,-8.55E+18,EMAIL,Low,Silver,Usage,Osbourne,Riddlesden,43,Safety Technician III,widowed,8,7,1,1,0.946732576,32378.97,L002,English,2022,74,0.2,0.64,6,Europe/Lisbon,Hindi
SMS,9862950351,INACTIVE,NONE,-2.42E+18,SMS,Low,Gold,Usage,Emelen,Barns,49,Senior Sales Associate,married,9,0,0,0,0.946670364,178627.74,L001,English,1936,35,0.1,0.45,14,Europe/Helsinki,Swedish
SMS,8389171317,ACTIVE,NONE,8.49E+18,SMS,Low,Silver,Usage,Conrade,Trodler,50,Community Outreach Specialist,single,2,3,2,1,0.946620873,771344.62,L001,English,2006,84,0.97,0.68,23,America/Guatemala,Bislama
EMAIL,beckjessica@example.org,ACTIVE,NONE,8.86E+18,EMAIL,Medium,Default_memberClass,Retention,Rodolph,Wyldes,32,Social Worker,widowed,10,5,0,1,0.94659354,468161.45,CC003,English,1960,28,0.26,0.85,8,Africa/Lagos,Italian
SMS,2659327957,INACTIVE,NONE,-5.85E+18,EMAIL,Low,Bronze,Usage,Babita,Canelas,57,Sales Representative,widowed,12,7,1,0,0.946591154,116308.69,CC003,English,1982,52,0.9,0.01,7,Asia/Chongqing,Tetum
SMS,1781771457,INACTIVE,NONE,7.02E+17,EMAIL,High,Bronze,Usage,Bartlett,Gouinlock,51,VP Accounting,widowed,11,2,1,0,0.946550552,440670.07,CC003,English,2007,47,0.7,0.81,7,Africa/Dar_es_Salaam,Aymara
SMS,7066191315,ACTIVE,NONE,5.39E+18,EMAIL,High,Gold,Usage,Orelee,Catterell,66,Account Coordinator,widowed,5,5,0,0,0.946531873,479760.09,CC003,English,2023,29,0.42,0.05,13,Europe/Belgrade,Oriya
EMAIL,justin21@example.net,INACTIVE,NONE,1.35E+18,SMS,Medium,Gold,Upsell,Bobby,Maypowder,77,Executive Secretary,married,13,2,2,1,0.946497963,674767.12,L002,French,1973,8,0.25,0.42,1,Asia/Shanghai,Azeri
SMS,4592283950,INACTIVE,NONE,3.53E+18,EMAIL,Low,Bronze,Retention,Cash,Sweynson,69,Geological Engineer,divorced,3,5,0,0,0.946489029,362104.42,CC003,German,1987,67,0.58,0.07,19,Asia/Manila,Japanese
SMS,9047807434,ACTIVE,NONE,6.81E+17,SMS,Low,Default_memberClass,Upsell,Maje,Grzegorek,61,Sales Representative,widowed,13,5,1,0,0.946483331,760607.22,CC003,German,1931,53,0.75,0.96,9,Asia/Makassar,Lao
SMS,4052968670,INACTIVE,NONE,-8.89E+18,EMAIL,Low,Default_memberClass,Retention,Lorraine,Elliss,80,Design Engineer,single,14,8,2,1,0.946462099,94244.57,L002,German,2005,81,1,0.61,1,Asia/Kabul,Nepali
EMAIL,nelsonkristy@example.org,INACTIVE,NONE,3.18E+18,SMS,Medium,Silver,Upsell,Michelina,Chelsom,52,VP Product Management,widowed,7,10,1,0,0.946437841,739753.36,CC003,German,1944,52,0.65,0.7,20,Europe/Stockholm,West Frisian
